Nº Autorizacao,Data Publicação DOU - Autorização,Código Instalação i-Simp,Razão Social,CNPJ,Endereço,COMPLEMENTO,BAIRRO,CEP,UF,MUNICÍPIO,Vinculação a Distribuidor,Data de Vinculação a Distribuidor,Delivery,Data Autorização Delivery,Número Despacho Delivery,Status PMQC,latitude,longitude
PR/SP0106782,15/02/2012,1183392,LUANA CARVALHO DA SILVA - COMBUSTIVEIS - ME,9812877000151,"RODOVIA DOS TAMOIOS,  S/Nº",KM 60,CENTRO,12260000,SP,PARAIBUNA,BANDEIRA BRANCA,07/04/2017,NÃO,,,ADIMPLENTE,-23.3869,-45.6625
PR/SP0181204,05/06/2017,1234057,AUTO POSTO RETAO DA DUTRA LTDA,10371690001030,"AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,  8400",,VILA INDUSTRIAL,12220000,SP,SAO JOSE DOS CAMPOS,RAIZEN,05/06/2017,NÃO,,,ADIMPLENTE,-23.1822049,-45.8655472
PR/SP0084522,08/07/2010,1163338,AUTO POSTO TRES PRAIAS DE UBATUBA LTDA,10571192000140,"AVENIDA MARGINAL,  1950",,PEREQUE MIRIM,11680000,SP,UBATUBA,VIBRA,08/07/2010,NÃO,,,ADIMPLENTE,-23.4876697,-45.1051875
PR/SP0067443,31/03/2009,1108100,AUGE COMBUSTVEIS E LOGISTICA LTDA.,10573669000126,"RUA LUIZ DOMICIANO DE CASTRO,  97/99",,CENTRO,12525000,SP,POTIM,VIBRA,06/09/2021,NÃO,,,ADIMPLENTE,-22.8418583,-45.2521621
PR/SP0068106,15/04/2009,1108338,AUTO POSTO OCEANO LTDA,10599431000170,"RUA DONA MARIA ALVES,  604",,CENTRO,11680000,SP,UBATUBA,BANDEIRA BRANCA,15/04/2009,NÃO,,,ADIMPLENTE,-23.432374,-45.0781042
PR/SP0088069,18/11/2010,1167569,AUTO POSTO REDE DO VALE LTDA,10651038000188,"RUA MONTEIRO LOBATO,  159",,VILA RANGEL,12211430,SP,SAO JOSE DOS CAMPOS,RODOIL,28/08/2023,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0170085,07/05/2015,1214487,POSTO MAXIMO CARAGUA LTDA,10655049000136,"AVENIDA JOSE HERCULANO,  4860",,PRAIA DAS PALMEIRAS EM CARAGUATATUBA,11666000,SP,CARAGUATATUBA,BANDEIRA BRANCA,07/05/2015,NÃO,,,ADIMPLENTE,-23.6203,-45.4128
PR/SP0076720,16/10/2009,1153579,AUTO POSTO BRASIL GAS SP-RJ LTDA,10704173000144,"RODOVIA PRESIDENTE DUTRA,  1030",,KM 52 SENTIDO SAO PAULO/RIO - PARQUE DAS RODOVIAS,12605467,SP,LORENA,BANDEIRA BRANCA,16/10/2009,NÃO,,,ADIMPLENTE,-22.7308,-45.1247
PR/SP0071664,06/07/2009,1109907,AUTO POSTO LUDINA LTDA,10713366000161,"RUA ORRIS BENEDITO BARBOSA,  457",,PITEU,12630000,SP,CACHOEIRA PAULISTA,BANDEIRA BRANCA,12/11/2019,NÃO,,,ADIMPLENTE,-22.6695702,-45.0160262
PR/SP0217978,10/12/2021,1257129,AUTO POSTO CESAR COSTA LTDA,10748772000160,"AVENIDA DOUTOR CESAR COSTA,  430",,AREAO,12082230,SP,TAUBATE,BANDEIRA BRANCA,10/12/2021,NÃO,,,ADIMPLENTE,-23.0123909,-45.561767
PR/SP0080732,17/02/2010,1158865,AUTO POSTO RB ANDRADE LTDA,10765882000130,"RUA DOUTOR FREDERICO MACHADO,  27",,CENTRO,12410040,SP,PINDAMONHANGABA,BANDEIRA BRANCA,29/05/2017,NÃO,,,ADIMPLENTE,-22.9326535,-45.4593432
PR/SP0078808,16/12/2009,1156037,AUTO POSTO LC PATIO DOS TRILHOS LTDA,10834839000189,"RUA BERNARDINO DE CAMPOS,  49",,CENTRO,12308010,SP,JACAREI,BANDEIRA BRANCA,03/04/2025,NÃO,,,ADIMPLENTE,-23.3053,-45.9658
PR/SP0075841,07/10/2009,1153271,AUTO POSTO LORINHO LTDA.,11001392000120,"AVENIDA PROFESSOR MANOEL C. RIBEIRO,  4100",,JARDIM ELOYNA,12400000,SP,PINDAMONHANGABA,BANDEIRA BRANCA,10/08/2016,NÃO,,,ADIMPLENTE,-22.9239,-45.4617
PR/SP0080709,17/02/2010,1158905,POSTO DE SERVICO AUTOMOTIVO LAGOINHA LTDA,11014038000130,"AVENIDA MARGINAL,  326",,LAGOINHA,11680000,SP,UBATUBA,VIBRA,02/05/2016,NÃO,,,ADIMPLENTE,-23.4331,-45.0711
PM/SP0250272,16/07/2025,1311370,POSTO DE SERVICO AUTOMOTIVO LAGOINHA LTDA,11014038000210,"RUA PLINIO FRANCA,  330",CAIS  SACO DA RIBEIRA,SACO DA RIBEIRA,11685716,SP,UBATUBA,VIBRA,16/07/2025,NÃO,,,ADIMPLENTE,-23.4331,-45.0711
PR/SP0078863,21/12/2009,1156302,AUTO POSTO DOCE MAR LTDA,11034435000173,"RUA IRENE,  135",,ITAGUA,11680000,SP,UBATUBA,BANDEIRA BRANCA,21/12/2009,NÃO,,,ADIMPLENTE,-23.4618304,-45.0614292
PR/SP0077660,29/10/2009,1154150,POSTO REDE NOVA DO BOSQUE LTDA,11154487000183,"AVENIDA ANDROMEDA,  3815",,BOSQUE DOS EUCALIPTOS,12233000,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,29/10/2009,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0080064,04/02/2010,1157844,ECOILHA POSTO DE SERVICOS LTDA,11215831000105,"AVENIDA PRINCESA ISABEL,  2284",,BARRA VELHA,11630000,SP,ILHABELA,BANDEIRA BRANCA,04/02/2010,NÃO,,,ADIMPLENTE,-23.8212378,-45.3727251
