Município,Populacao_2025,Postos_Existentes,Postos_por_100mil
Pariquera-Açu,19603,0,0.0
Parisi,3030,0,0.0
Patrocínio Paulista,14888,0,0.0
Paulicéia,8255,0,0.0
Paulínia,116674,0,0.0
Paulistânia,2156,0,0.0
Paulo de Faria,7390,0,0.0
Pederneiras,46337,0,0.0
Pedra Bela,6745,0,0.0
Pedranópolis,2856,0,0.0
Pedregulho,15737,0,0.0
Pedreira,44385,0,0.0
Pedrinhas Paulista,2833,0,0.0
Pedro de Toledo,11617,0,0.0
Penápolis,63426,0,0.0
Pereira Barreto,24360,0,0.0
Pereiras,9013,0,0.0
Peruíbe,70629,0,0.0
Piacatu,5631,0,0.0
Piedade,54266,0,0.0
Pilar do Sul,28459,0,0.0
Pindorama,14704,0,0.0
Pinhalzinho,15676,0,0.0
Piquerobi,3287,0,0.0
Piracaia,26795,0,0.0
Piracicaba,440835,0,0.0
Piraju,30294,0,0.0
Pirajuí,22734,0,0.0
Pirangi,11085,0,0.0
Pirapora do Bom Jesus,18925,0,0.0
Pirapozinho,26097,0,0.0
Pirassununga,75594,0,0.0
Piratininga,15657,0,0.0
Pitangueiras,34361,0,0.0
Planalto,4451,0,0.0
Platina,3055,0,0.0
Poá,106355,0,0.0
Poloni,5702,0,0.0
Pompéia,20520,0,0.0
Pongaí,3440,0,0.0
Pontal,38286,0,0.0
Pontalinda,4198,0,0.0
Pontes Gestal,2411,0,0.0
Populina,4182,0,0.0
Porangaba,10850,0,0.0
Porto Feliz,58605,0,0.0
Porto Ferreira,53966,0,0.0
Potirendaba,19097,0,0.0
Pracinha,2589,0,0.0
Pradópolis,17299,0,0.0
Praia Grande,368539,0,0.0
Pratânia,5264,0,0.0
Presidente Alves,3830,0,0.0
Presidente Bernardes,14803,0,0.0
Presidente Epitácio,40322,0,0.0
Presidente Prudente,234706,0,0.0
Presidente Venceslau,35810,0,0.0
Promissão,35973,0,0.0
Quadra,3477,0,0.0
Quatá,13412,0,0.0
Queiroz,3366,0,0.0
Quintana,7260,0,0.0
Rafard,9145,0,0.0
Rancharia,29387,0,0.0
Redenção da Serra,4637,0,0.0
Regente Feijó,20620,0,0.0
Reginópolis,7820,0,0.0
Registro,61927,0,0.0
Restinga,6486,0,0.0
Ribeira,3158,0,0.0
Ribeirão Bonito,11040,0,0.0
Ribeirão Branco,18942,0,0.0
Ribeirão Corrente,4717,0,0.0
Ribeirão do Sul,4776,0,0.0
Ribeirão dos Índios,2040,0,0.0
Ribeirão Grande,7571,0,0.0
Ribeirão Pires,118954,0,0.0
Ribeirão Preto,731639,0,0.0
Riversul,5628,0,0.0
Rifaina,4179,0,0.0
Rincão,9101,0,0.0
Rinópolis,9334,0,0.0
Rio Claro,210323,0,0.0
Rio das Pedras,32329,0,0.0
Rio Grande da Serra,45324,0,0.0
Riolândia,10444,0,0.0
Rosana,17434,0,0.0
Rubiácea,2740,0,0.0
Rubinéia,3998,0,0.0
Sabino,5182,0,0.0
Sagres,2522,0,0.0
Sales,6645,0,0.0
Sales Oliveira,11683,0,0.0
Salesópolis,15381,0,0.0
Salmourão,4883,0,0.0
Saltinho,8407,0,0.0
Salto,141111,0,0.0
Salto de Pirapora,45262,0,0.0
Salto Grande,9221,0,0.0
Sandovalina,3697,0,0.0
Santa Adélia,14193,0,0.0
Santa Albertina,6566,0,0.0
Santa Bárbara d'Oeste,189456,0,0.0
Santa Branca,14219,0,0.0
Santa Clara d'Oeste,2694,0,0.0
Santa Cruz da Conceição,4375,0,0.0
Santa Cruz da Esperança,2168,0,0.0
Santa Cruz das Palmeiras,29489,0,0.0
Santa Cruz do Rio Pardo,47759,0,0.0
Santa Ernestina,6274,0,0.0
Santa Fé do Sul,36288,0,0.0
Santa Gertrudes,23192,0,0.0
Santa Lúcia,7144,0,0.0
Santa Maria da Serra,5308,0,0.0
Santa Mercedes,3017,0,0.0
Santana da Ponte Pensa,1699,0,0.0
Santana de Parnaíba,163787,0,0.0
Santa Rita d'Oeste,2796,0,0.0
Santa Rita do Passa Quatro,24996,0,0.0
Santa Rosa de Viterbo,23710,0,0.0
Santa Salete,1692,0,0.0
Santo Anastácio,17960,0,0.0
Santo André,782048,0,0.0
Santo Antônio da Alegria,6933,0,0.0
Santo Antônio de Posse,23867,0,0.0
Santo Antônio do Aracanguá,8593,0,0.0
Santo Antônio do Jardim,6243,0,0.0
Santo Antônio do Pinhal,7314,0,0.0
Santo Expedito,3069,0,0.0
Santópolis do Aguapeí,3921,0,0.0
Santos,429547,0,0.0
São Bernardo do Campo,841154,0,0.0
São Caetano do Sul,172693,0,0.0
São Carlos,266427,0,0.0
São Francisco,2623,0,0.0
São João da Boa Vista,96080,0,0.0
São João das Duas Pontes,2623,0,0.0
São João de Iracema,1882,0,0.0
São João do Pau d'Alho,2293,0,0.0
São Joaquim da Barra,49885,0,0.0
São José da Bela Vista,7664,0,0.0
São José do Barreiro,3888,0,0.0
São José do Rio Pardo,53427,0,0.0
São José do Rio Preto,504166,0,0.0
São Lourenço da Serra,16479,0,0.0
São Luiz do Paraitinga,10487,0,0.0
São Manuel,38131,0,0.0
São Miguel Arcanjo,32924,0,0.0
São Paulo,11904961,0,0.0
São Pedro,39855,0,0.0
São Pedro do Turvo,7333,0,0.0
São Roque,81366,0,0.0
São Sebastião,84280,0,0.0
São Sebastião da Grama,10428,0,0.0
São Simão,13560,0,0.0
São Vicente,338326,0,0.0
Sarapuí,10677,0,0.0
Sarutaiá,3772,0,0.0
Sebastianópolis do Sul,3191,0,0.0
Serra Azul,13108,0,0.0
Serrana,45580,0,0.0
Serra Negra,31047,0,0.0
Sertãozinho,132176,0,0.0
Sete Barras,12903,0,0.0
Severínia,14693,0,0.0
Socorro,41527,0,0.0
Sorocaba,762172,0,0.0
Sud Mennucci,7464,0,0.0
Sumaré,291116,0,0.0
Suzano,320261,0,0.0
Suzanápolis,3465,0,0.0
Tabapuã,11498,0,0.0
Tabatinga,14997,0,0.0
Taboão da Serra,285307,0,0.0
Taciba,6418,0,0.0
Taguaí,13068,0,0.0
Taiaçu,5744,0,0.0
Taiúva,6770,0,0.0
Tambaú,21650,0,0.0
Tanabi,26071,0,0.0
Tapiraí,8122,0,0.0
Tapiratiba,11903,0,0.0
Taquaral,2649,0,0.0
Taquaritinga,53264,0,0.0
Taquarituba,24932,0,0.0
Taquarivaí,7170,0,0.0
Tarabai,6633,0,0.0
Tarumã,15315,0,0.0
Tatuí,129130,0,0.0
Tejupá,4119,0,0.0
Teodoro Sampaio,22598,0,0.0
Terra Roxa,7965,0,0.0
Tietê,38723,0,0.0
Timburi,2484,0,0.0
Torre de Pedra,2056,0,0.0
Torrinha,9484,0,0.0
Trabiju,1724,0,0.0
Três Fronteiras,7060,0,0.0
Tuiuti,6976,0,0.0
Tupã,65433,0,0.0
Tupi Paulista,16259,0,0.0
Turiúba,1835,0,0.0
Turmalina,1662,0,0.0
Ubarana,5458,0,0.0
Ubirajara,5289,0,0.0
Chavantes,12415,0,0.0
União Paulista,1628,0,0.0
Urânia,8973,0,0.0
Uru,1424,0,0.0
Potim,20801,1,4.81
Tremembé,53426,5,9.36
Santa Isabel,54691,8,14.63
Jambeiro,6611,1,15.13
Cachoeira Paulista,32534,5,15.37
Ilhabela,36559,6,16.41
Roseira,11137,2,17.96
Pindamonhangaba,172681,32,18.53
São José dos Campos,727078,135,18.57
Taubaté,322397,62,19.23
Lagoinha,5183,1,19.29
Jacareí,250952,49,19.53
Cruzeiro,76444,15,19.62
Bananal,10097,2,19.81
Guaratinguetá,121916,26,21.33
Lorena,87468,19,21.72
Caraguatatuba,142248,31,21.79
Monteiro Lobato,4205,1,23.78
Piquete,12516,3,23.97
São Bento do Sapucaí,11989,3,25.02
Lavrinhas,7348,2,27.22
Igaratá,10984,3,27.31
Vargem,10863,3,27.62
Natividade da Serra,7155,2,27.95
Ubatuba,97096,28,28.84
Silveiras,6329,2,31.6
Aparecida,33141,13,39.23
Cunha,22460,9,40.07
Arapeí,2355,1,42.46
Paraibuna,17959,8,44.55
Queluz,9074,5,55.1
Areias,3617,2,55.29
Canas,5068,3,59.19
